<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DRC,20120319,7.27,7.42,7.27,7.36,121600,25.00,25.50,25.00,25.30,0,29280,9170
DRC,20120316,7.33,7.74,7.33,7.33,324450,25.20,26.60,25.20,25.20,0,67460,95950
DRC,20120315,7.71,7.71,7.45,7.59,418440,26.50,26.50,25.60,26.10,0,112950,16070
DRC,20120314,7.36,7.36,7.27,7.36,712720,25.30,25.30,25.00,25.30,0,276920,2500
DRC,20120313,7.01,7.01,7.01,7.01,194100,24.10,24.10,24.10,24.10,0,0,35790
DRC,20120312,6.70,6.93,6.61,6.69,186030,23.00,23.80,22.70,23.00,0,76790,0
DRC,20120309,6.84,6.99,6.70,6.93,327190,23.50,24.00,23.00,23.80,0,144070,0
DRC,20120308,7.12,7.27,6.92,6.93,280280,24.50,25.00,23.80,23.80,0,83030,0
DRC,20120307,7.16,7.33,6.93,7.27,297260,24.60,25.20,23.80,25.00,0,100090,0
DRC,20120306,7.62,7.62,6.98,7.10,437470,26.20,26.20,24.00,24.40,0,103310,5000
DRC,20120305,7.27,7.33,7.21,7.33,140330,25.00,25.20,24.80,25.20,0,0,100
DRC,20120302,6.84,7.01,6.72,6.98,418950,23.50,24.10,23.10,24.00,0,53000,0
DRC,20120301,6.69,6.78,6.54,6.78,281600,23.00,23.30,22.50,23.30,0,94760,0
DRC,20120229,6.46,6.69,6.43,6.69,272980,22.20,23.00,22.10,23.00,0,89850,0
DRC,20120228,6.72,6.81,6.46,6.46,273230,23.10,23.40,22.20,22.20,0,28810,0
DRC,20120227,6.55,6.78,6.52,6.78,294810,22.50,23.30,22.40,23.30,0,79410,0
DRC,20120224,6.34,6.63,6.25,6.55,360670,21.80,22.80,21.50,22.50,0,92170,550
DRC,20120223,6.40,6.40,6.14,6.34,165980,22.00,22.00,21.10,21.80,0,45740,0
DRC,20120222,6.08,6.37,5.96,6.34,334180,20.90,21.90,20.50,21.80,0,118000,10000
DRC,20120221,6.46,6.46,6.08,6.08,256330,22.20,22.20,20.90,20.90,0,51330,0
DRC,20120220,6.23,6.46,6.23,6.37,266850,21.40,22.20,21.40,21.90,0,48550,0
DRC,20120217,6.29,6.32,6.14,6.23,111420,21.60,21.70,21.10,21.40,0,2450,3000
DRC,20120216,6.17,6.37,6.17,6.29,102410,21.20,21.90,21.20,21.60,0,48230,1700
DRC,20120215,6.11,6.43,6.11,6.34,285300,21.00,22.10,21.00,21.80,0,55000,0
DRC,20120214,5.88,6.17,5.88,6.17,199850,20.20,21.20,20.20,21.20,0,25560,2000
DRC,20120213,5.99,5.99,5.82,5.88,216060,20.60,20.60,20.00,20.20,0,124250,8000
DRC,20120210,6.23,6.23,6.00,5.99,199260,21.40,21.40,20.60,20.60,0,128570,3050
DRC,20120209,6.26,6.29,6.08,6.23,270080,21.50,21.60,20.90,21.40,0,65000,5000
DRC,20120208,6.06,6.23,5.94,6.23,234160,20.80,21.40,20.40,21.40,0,43140,2000
DRC,20120207,5.70,5.93,5.67,5.94,298180,19.60,20.40,19.50,20.40,0,36380,0
DRC,20120206,5.64,5.82,5.59,5.70,75090,19.40,20.00,19.20,19.60,0,2980,0
DRC,20120203,5.99,5.99,5.67,5.79,414860,20.60,20.60,19.50,19.90,215030,361950,231260
DRC,20120202,5.59,5.79,5.59,5.79,413900,19.20,19.90,19.20,19.90,0,6700,100380
DRC,20120201,5.35,5.52,5.29,5.53,266100,18.40,19.00,18.20,19.00,0,17570,88500
DRC,20120131,5.53,5.53,5.32,5.32,101870,19.00,19.00,18.30,18.30,0,0,6000
DRC,20120130,5.44,5.44,5.35,5.44,56550,18.70,18.70,18.40,18.70,0,6210,0
DRC,20120120,5.47,5.53,5.41,5.41,31530,18.80,19.00,18.60,18.60,0,0,7810
DRC,20120119,5.41,5.52,5.35,5.53,61520,18.60,19.00,18.40,19.00,0,19540,8000
DRC,20120118,5.24,5.39,5.24,5.35,25510,18.00,18.50,18.00,18.40,0,0,0
DRC,20120117,5.33,5.41,5.30,5.30,105650,18.30,18.60,18.20,18.20,0,0,25000
DRC,20120116,5.07,5.21,5.07,5.21,125320,17.40,17.90,17.40,17.90,0,48810,31500
DRC,20120113,4.89,5.01,4.89,4.98,22160,16.80,17.20,16.80,17.10,0,0,3770
DRC,20120112,4.94,5.03,4.94,4.95,26130,17.00,17.30,17.00,17.00,0,0,0
DRC,20120111,5.03,5.09,5.00,5.00,54150,17.30,17.50,17.20,17.20,0,13700,0
DRC,20120110,4.86,5.00,4.86,5.00,12140,16.70,17.20,16.70,17.20,0,0,1530
DRC,20120109,4.86,4.95,4.83,4.83,61310,16.70,17.00,16.60,16.60,0,0,0
DRC,20120106,4.95,5.01,4.86,4.86,28240,17.00,17.20,16.70,16.70,0,0,0
DRC,20120105,5.00,5.00,4.91,4.92,31780,17.20,17.20,16.90,16.90,198000,200000,198000
DRC,20120104,5.03,5.03,4.94,5.00,38210,17.30,17.30,17.00,17.20,0,0,0
DRC,20120103,4.95,5.10,4.95,5.03,62150,17.00,17.50,17.00,17.30,0,0,0
DRC,20111230,4.92,5.00,4.89,4.98,38420,16.90,17.20,16.80,17.10,0,0,5930
DRC,20111229,4.80,4.86,4.80,4.83,11580,16.50,16.70,16.50,16.60,0,0,0
DRC,20111228,4.81,4.89,4.81,4.89,13900,16.50,16.80,16.50,16.80,0,1610,2100
DRC,20111227,4.80,4.80,4.62,4.66,64110,16.50,16.50,15.90,16.00,0,0,0
DRC,20111226,4.89,4.89,4.74,4.74,38560,16.80,16.80,16.30,16.30,0,0,0
DRC,20111223,4.68,4.80,4.68,4.77,60280,16.10,16.50,16.10,16.40,0,0,9780
DRC,20111222,5.03,5.09,4.83,4.83,194660,17.30,17.50,16.60,16.60,0,500,113050
DRC,20111221,5.03,5.09,5.03,5.06,27120,17.30,17.50,17.30,17.40,0,0,0
DRC,20111220,4.97,5.03,4.97,5.00,29650,17.10,17.30,17.10,17.20,0,0,0
DRC,20111219,5.21,5.21,5.06,5.06,23050,17.90,17.90,17.40,17.40,0,0,8910
DRC,20111216,5.00,5.15,5.00,5.12,120370,17.20,17.70,17.20,17.60,0,35720,3000
DRC,20111215,5.09,5.09,4.89,5.00,29840,17.50,17.50,16.80,17.20,0,0,950
DRC,20111214,5.15,5.18,5.00,5.09,68410,17.70,17.80,17.20,17.50,0,0,8650
DRC,20111213,5.09,5.15,5.03,5.15,19300,17.50,17.70,17.30,17.70,0,0,0
DRC,20111212,5.24,5.24,5.06,5.09,61510,18.00,18.00,17.40,17.50,0,4000,0
DRC,20111209,5.24,5.24,5.12,5.15,23780,18.00,18.00,17.60,17.70,0,100,500
DRC,20111208,5.38,5.41,5.24,5.24,137400,18.50,18.60,18.00,18.00,0,0,18150
DRC,20111207,5.38,5.47,5.38,5.44,67810,18.50,18.80,18.50,18.70,0,500,1370
DRC,20111206,5.68,5.68,5.50,5.50,135330,19.50,19.50,18.90,18.90,0,2130,25200
DRC,20111205,5.42,5.53,5.39,5.53,179470,18.60,19.00,18.50,19.00,0,0,126620
DRC,20111202,5.18,5.26,5.15,5.27,264550,17.80,18.10,17.70,18.10,0,2000,226720
DRC,20111201,5.20,5.20,5.00,5.09,105400,17.90,17.90,17.20,17.50,0,0,94010
DRC,20111130,4.97,5.00,4.97,5.00,94440,17.10,17.20,17.10,17.20,0,0,55100
DRC,20111129,4.98,5.04,4.98,5.00,113780,17.10,17.30,17.10,17.20,0,0,42980
DRC,20111128,4.95,5.00,4.95,4.98,58820,17.00,17.20,17.00,17.10,0,0,21360
DRC,20111125,4.86,4.86,4.77,4.80,25910,16.70,16.70,16.40,16.50,0,0,3740
DRC,20111124,4.83,4.83,4.77,4.80,22570,16.60,16.60,16.40,16.50,0,0,0
DRC,20111123,4.95,4.95,4.66,4.74,112440,17.00,17.00,16.00,16.30,0,100,93990
DRC,20111122,4.80,4.89,4.77,4.83,37080,16.50,16.80,16.40,16.60,0,0,5000
DRC,20111121,4.80,4.89,4.80,4.80,16770,16.50,16.80,16.50,16.50,0,2760,0
DRC,20111118,4.83,4.86,4.77,4.80,51490,16.60,16.70,16.40,16.50,0,1000,13510
DRC,20111117,4.95,4.95,4.89,4.89,15740,17.00,17.00,16.80,16.80,0,0,4190
DRC,20111116,4.86,4.95,4.86,4.95,89460,16.70,17.00,16.70,17.00,0,0,23350
DRC,20111115,5.01,5.01,4.83,4.89,18230,17.20,17.20,16.60,16.80,0,0,3000
DRC,20111114,5.00,5.06,4.88,4.89,80250,17.20,17.40,16.80,16.80,0,26720,18000
DRC,20111111,5.06,5.12,5.00,5.00,116190,17.40,17.60,17.20,17.20,0,14840,37370
DRC,20111110,5.12,5.18,5.06,5.06,78320,17.60,17.80,17.40,17.40,0,0,0
DRC,20111109,5.27,5.27,5.18,5.18,42860,18.10,18.10,17.80,17.80,0,10000,0
DRC,20111108,5.12,5.18,5.12,5.18,103130,17.60,17.80,17.60,17.80,0,0,50000
DRC,20111107,5.35,5.35,5.18,5.18,83020,18.40,18.40,17.80,17.80,0,5700,40590
DRC,20111104,5.47,5.47,5.32,5.35,99340,18.80,18.80,18.30,18.40,0,0,81490
DRC,20111103,5.50,5.50,5.44,5.47,25310,18.90,18.90,18.70,18.80,0,0,1360
DRC,20111102,5.47,5.56,5.44,5.47,52270,18.80,19.10,18.70,18.80,0,0,0
DRC,20111101,5.68,5.68,5.53,5.53,23690,19.50,19.50,19.00,19.00,0,0,1000
DRC,20111031,5.82,5.85,5.61,5.62,141560,20.00,20.10,19.30,19.30,0,0,21420
DRC,20111028,5.50,5.70,5.50,5.70,103620,18.90,19.60,18.90,19.60,0,27000,0
DRC,20111027,5.50,5.56,5.47,5.47,26010,18.90,19.10,18.80,18.80,0,1000,8160
DRC,20111026,5.47,5.56,5.47,5.53,26630,18.80,19.10,18.80,19.00,0,15960,0
DRC,20111025,5.50,5.59,5.47,5.47,40790,18.90,19.20,18.80,18.80,0,10920,0
DRC,20111024,5.62,5.68,5.53,5.53,139520,19.30,19.50,19.00,19.00,0,33540,62620
DRC,20111021,5.59,5.67,5.53,5.62,88700,19.20,19.50,19.00,19.30,0,46510,190
DRC,20111020,5.59,5.59,5.47,5.50,18830,19.20,19.20,18.80,18.90,0,1400,0
DRC,20111019,5.53,5.56,5.47,5.47,66070,19.00,19.10,18.80,18.80,0,100,9930
DRC,20111018,5.64,5.64,5.52,5.53,105880,19.40,19.40,19.00,19.00,0,14990,0
DRC,20111017,5.76,5.76,5.64,5.67,26900,19.80,19.80,19.40,19.50,0,3300,0
DRC,20111014,5.76,5.76,5.64,5.70,74970,19.80,19.80,19.40,19.60,0,0,0
DRC,20111013,5.71,5.71,5.59,5.64,188670,19.60,19.60,19.20,19.40,0,50000,122520
DRC,20111012,5.70,5.70,5.58,5.62,133990,19.60,19.60,19.20,19.30,0,25500,0
DRC,20111011,5.73,5.79,5.73,5.73,72050,19.70,19.90,19.70,19.70,0,0,0
DRC,20111010,5.79,5.79,5.70,5.73,43960,19.90,19.90,19.60,19.70,0,0,0
DRC,20111007,6.05,6.05,5.76,5.76,141330,20.80,20.80,19.80,19.80,0,3490,3830
DRC,20111006,5.82,5.96,5.76,5.85,113880,20.00,20.50,19.80,20.10,0,10000,0
DRC,20111005,5.82,5.82,5.64,5.73,132460,20.00,20.00,19.40,19.70,0,0,0
DRC,20111004,5.61,5.73,5.61,5.67,100280,19.30,19.70,19.30,19.50,0,0,0
DRC,20111003,5.85,5.97,5.71,5.70,163000,20.10,20.50,19.60,19.60,0,2000,0
DRC,20110930,5.90,5.99,5.81,5.91,124920,20.30,20.60,20.00,20.30,0,0,10780
DRC,20110929,5.96,6.14,5.91,5.96,167440,20.50,21.10,20.30,20.50,0,1000,42460
DRC,20110928,6.11,6.23,6.11,6.11,185780,21.00,21.40,21.00,21.00,0,2000,71760
DRC,20110927,6.17,6.35,6.14,6.17,167900,21.20,21.80,21.10,21.20,0,0,35940
DRC,20110926,6.23,6.29,6.20,6.23,117750,21.40,21.60,21.30,21.40,0,0,330
