<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BVH,20101001,47.94,48.37,46.64,46.64,37160,55.50,56.00,54.00,54.00,25000,14320,7500
BVH,20100930,45.78,47.94,44.48,47.94,144180,53.00,55.50,51.50,55.50,0,133470,1000
BVH,20100929,46.64,46.64,44.91,45.78,85760,54.00,54.00,52.00,53.00,0,78150,1000
BVH,20100928,43.18,44.48,43.18,44.48,186590,50.00,51.50,50.00,51.50,0,179810,10800
BVH,20100927,42.32,42.58,42.23,42.58,32940,49.00,49.30,48.90,49.30,0,28200,7490
BVH,20100924,39.46,41.41,39.46,40.59,109660,48.60,51.00,48.60,50.00,0,102660,29220
BVH,20100923,40.59,41.00,40.18,41.00,120890,50.00,50.50,49.50,50.50,30000,117130,1000
BVH,20100922,40.10,40.59,40.10,40.59,245870,49.40,50.00,49.40,50.00,0,221750,13030
BVH,20100921,40.43,40.51,39.78,40.51,1090540,49.80,49.90,49.00,49.90,0,1088730,863420
BVH,20100920,40.59,40.59,37.91,40.27,720680,50.00,50.00,46.70,49.60,0,704840,373840
BVH,20100917,39.70,39.70,39.62,39.70,359180,48.90,48.90,48.80,48.90,0,339960,266700
BVH,20100916,39.37,39.78,39.37,39.62,634270,48.50,49.00,48.50,48.80,0,631630,519130
BVH,20100915,37.75,39.45,37.75,39.29,256410,46.50,48.60,46.50,48.40,0,248910,118750
BVH,20100914,39.37,39.53,37.75,37.75,202150,48.50,48.70,46.50,46.50,150000,325090,267650
BVH,20100913,36.94,38.56,36.94,38.56,108290,45.50,47.50,45.50,47.50,0,100830,91700
BVH,20100910,40.18,40.18,38.56,38.56,138940,49.50,49.50,47.50,47.50,0,105600,68420
BVH,20100909,40.59,40.59,40.18,40.59,131130,50.00,50.00,49.50,50.00,0,101300,17820
