<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IJC,20160831,7.79,7.88,7.79,7.79,112770,8.20,8.30,8.20,8.20,0,0,0
IJC,20160830,7.79,7.88,7.79,7.88,101870,8.20,8.30,8.20,8.30,0,0,4980
IJC,20160829,7.79,7.88,7.79,7.79,137040,8.20,8.30,8.20,8.20,0,0,400
IJC,20160826,7.88,7.97,7.79,7.88,199350,8.30,8.40,8.20,8.30,0,20000,21400
IJC,20160825,7.79,7.88,7.70,7.88,124550,8.20,8.30,8.10,8.30,0,0,4500
IJC,20160824,7.88,7.88,7.69,7.79,145480,8.30,8.30,8.10,8.20,0,0,0
IJC,20160823,7.79,7.88,7.79,7.88,129890,8.20,8.30,8.20,8.30,0,0,0
IJC,20160822,7.98,7.98,7.79,7.88,166370,8.40,8.40,8.20,8.30,0,0,0
IJC,20160819,8.07,8.07,7.98,7.98,156160,8.50,8.50,8.40,8.40,0,0,5000
IJC,20160818,8.17,8.17,7.98,8.17,445870,8.60,8.60,8.40,8.60,0,0,15000
IJC,20160817,8.17,8.17,8.07,8.17,315000,8.60,8.60,8.50,8.60,0,0,0
IJC,20160816,8.26,8.26,8.07,8.17,133510,8.70,8.70,8.50,8.60,0,0,0
IJC,20160815,8.26,8.26,8.07,8.26,69400,8.70,8.70,8.50,8.70,0,0,11320
IJC,20160812,8.27,8.36,8.17,8.26,237990,8.70,8.80,8.60,8.70,0,0,4080
IJC,20160811,8.17,8.35,8.17,8.36,106220,8.60,8.80,8.60,8.80,0,20000,0
IJC,20160810,8.07,8.27,8.07,8.26,195790,8.50,8.70,8.50,8.70,0,0,2700
IJC,20160809,8.07,8.16,8.07,8.17,30790,8.50,8.60,8.50,8.60,0,0,0
IJC,20160808,8.16,8.16,7.98,8.07,254210,8.60,8.60,8.40,8.50,0,0,0
IJC,20160805,8.07,8.17,7.98,8.07,305330,8.50,8.60,8.40,8.50,0,0,0
IJC,20160804,8.17,8.27,8.07,8.17,258300,8.60,8.70,8.50,8.60,0,39000,0
IJC,20160803,8.07,8.27,8.07,8.17,203870,8.50,8.70,8.50,8.60,0,10000,0
IJC,20160802,8.17,8.27,8.17,8.17,488900,8.60,8.70,8.60,8.60,0,10000,120500
IJC,20160801,8.27,8.36,8.27,8.36,73140,8.70,8.80,8.70,8.80,680000,15000,0
IJC,20160729,8.36,8.46,8.27,8.36,1149000,8.80,8.90,8.70,8.80,0,515520,0
IJC,20160728,8.36,8.46,8.27,8.36,1290800,8.80,8.90,8.70,8.80,0,0,58000
IJC,20160727,8.36,8.46,8.36,8.36,166840,8.80,8.90,8.80,8.80,1140000,0,0
IJC,20160726,8.46,8.46,8.36,8.36,696730,8.90,8.90,8.80,8.80,0,200000,13600
IJC,20160725,8.46,8.55,8.36,8.36,415980,8.90,9.00,8.80,8.80,0,0,200
IJC,20160722,8.46,8.55,8.36,8.55,1177690,8.90,9.00,8.80,9.00,930000,0,70000
IJC,20160721,8.55,8.64,8.46,8.55,519710,9.00,9.10,8.90,9.00,1070000,4000,0
IJC,20160720,8.64,8.64,8.55,8.55,197240,9.10,9.10,9.00,9.00,0,1000,0
IJC,20160719,8.64,8.73,8.55,8.64,816690,9.10,9.20,9.00,9.10,930000,207460,0
IJC,20160718,8.55,8.74,8.55,8.64,610380,9.00,9.20,9.00,9.10,1070000,0,0
IJC,20160715,8.64,8.73,8.55,8.55,1387060,9.10,9.20,9.00,9.00,0,0,0
IJC,20160714,8.64,8.83,8.64,8.64,989860,9.10,9.30,9.10,9.10,0,184000,5000
IJC,20160713,8.64,8.73,8.64,8.64,745450,9.10,9.20,9.10,9.10,0,216210,24370
IJC,20160712,8.74,8.74,8.55,8.64,607800,9.20,9.20,9.00,9.10,0,10000,0
IJC,20160711,8.64,8.83,8.55,8.74,1680810,9.10,9.30,9.00,9.20,0,156320,16980
IJC,20160708,8.73,8.73,8.45,8.64,787220,9.20,9.20,8.90,9.10,0,53050,0
IJC,20160707,8.45,8.73,8.45,8.64,1809470,8.90,9.20,8.90,9.10,0,20000,19650
IJC,20160706,8.45,8.54,8.36,8.45,550880,8.90,9.00,8.80,8.90,0,0,0
IJC,20160705,8.46,8.55,8.36,8.45,794000,8.90,9.00,8.80,8.90,0,30000,0
IJC,20160704,8.45,8.45,8.36,8.36,512890,8.90,8.90,8.80,8.80,0,300,20030
IJC,20160701,8.46,8.46,8.36,8.45,576520,8.90,8.90,8.80,8.90,0,0,0
IJC,20160630,8.45,8.54,8.36,8.36,482860,8.90,9.00,8.80,8.80,0,0,0
IJC,20160629,8.35,8.54,8.35,8.45,704480,8.80,9.00,8.80,8.90,0,7000,0
IJC,20160628,8.17,8.45,8.17,8.26,602580,8.60,8.90,8.60,8.70,0,0,0
IJC,20160627,8.17,8.26,8.07,8.26,578360,8.60,8.70,8.50,8.70,0,0,0
IJC,20160624,8.45,8.45,7.88,8.26,1878670,8.90,8.90,8.30,8.70,0,208150,31800
IJC,20160623,8.36,8.45,8.36,8.45,722530,8.80,8.90,8.80,8.90,0,0,99700
IJC,20160622,8.46,8.46,8.36,8.45,427300,8.90,8.90,8.80,8.90,0,3000,0
IJC,20160621,8.46,8.55,8.36,8.36,797170,8.90,9.00,8.80,8.80,0,0,0
IJC,20160620,8.46,8.46,8.36,8.36,1007670,8.90,8.90,8.80,8.80,0,200000,10000
IJC,20160617,8.46,8.46,8.36,8.36,636480,8.90,8.90,8.80,8.80,0,252000,0
IJC,20160616,8.46,8.55,8.36,8.36,381330,8.90,9.00,8.80,8.80,0,8950,3000
IJC,20160615,8.36,8.64,8.27,8.55,1115210,8.80,9.10,8.70,9.00,0,207990,0
IJC,20160614,8.36,8.46,8.27,8.36,370110,8.80,8.90,8.70,8.80,0,8500,16000
IJC,20160613,8.26,8.45,8.26,8.36,905480,8.70,8.90,8.70,8.80,0,0,144000
IJC,20160610,8.36,8.45,8.26,8.26,695130,8.80,8.90,8.70,8.70,0,21000,1000
IJC,20160609,8.45,8.45,8.36,8.45,790720,8.90,8.90,8.80,8.90,0,75500,15000
IJC,20160608,8.55,8.55,8.46,8.45,631690,9.00,9.00,8.90,8.90,0,20000,0
IJC,20160607,8.45,8.54,8.36,8.55,717170,8.90,9.00,8.80,9.00,0,0,0
IJC,20160606,8.45,8.64,8.36,8.45,1560550,8.90,9.10,8.80,8.90,0,82030,11000
IJC,20160603,8.55,8.74,8.46,8.45,1688510,9.00,9.20,8.90,8.90,0,100240,0
IJC,20160602,8.55,8.55,8.46,8.55,1792110,9.00,9.00,8.90,9.00,0,76000,18000
IJC,20160601,8.73,8.73,8.45,8.55,5170600,9.20,9.20,8.90,9.00,0,0,75100
IJC,20160531,8.27,8.27,8.27,8.26,343440,8.70,8.70,8.70,8.70,0,0,0
IJC,20160530,7.50,7.79,7.41,7.79,2692220,7.90,8.20,7.80,8.20,0,50000,0
IJC,20160527,7.40,7.40,7.31,7.41,226490,7.80,7.80,7.70,7.80,0,0,0
IJC,20160526,7.32,7.41,7.32,7.31,274610,7.70,7.80,7.70,7.70,0,0,2000
IJC,20160525,7.40,7.50,7.22,7.41,724980,7.80,7.90,7.60,7.80,0,0,0
IJC,20160524,7.40,7.50,7.31,7.31,279920,7.80,7.90,7.70,7.70,0,85000,90000
IJC,20160523,7.40,7.40,7.31,7.31,280370,7.80,7.80,7.70,7.70,0,0,35000
IJC,20160520,7.41,7.41,7.32,7.31,144730,7.80,7.80,7.70,7.70,0,0,0
IJC,20160519,7.41,7.50,7.32,7.41,181040,7.80,7.90,7.70,7.80,0,4000,0
IJC,20160518,7.40,7.69,7.40,7.41,788260,7.80,8.10,7.80,7.80,0,48000,0
IJC,20160517,7.32,7.41,7.22,7.31,264410,7.70,7.80,7.60,7.70,0,0,0
IJC,20160516,7.22,7.32,7.12,7.22,158470,7.60,7.70,7.50,7.60,0,0,0
IJC,20160513,7.22,7.32,7.22,7.22,550900,7.60,7.70,7.60,7.60,0,0,10
IJC,20160512,7.22,7.32,7.22,7.22,298700,7.60,7.70,7.60,7.60,0,0,0
IJC,20160511,7.22,7.32,7.12,7.22,308400,7.60,7.70,7.50,7.60,0,5600,8500
IJC,20160510,7.22,7.32,7.12,7.22,351250,7.60,7.70,7.50,7.60,0,0,10000
IJC,20160509,7.31,7.40,7.22,7.22,326490,7.70,7.80,7.60,7.60,0,0,10000
IJC,20160506,7.32,7.41,7.22,7.31,254910,7.70,7.80,7.60,7.70,0,0,0
IJC,20160505,7.32,7.50,7.32,7.41,187740,7.70,7.90,7.70,7.80,0,0,0
IJC,20160504,7.41,7.50,7.31,7.41,513430,7.80,7.90,7.70,7.80,0,20000,0
IJC,20160429,7.60,7.70,7.50,7.50,330900,8.00,8.10,7.90,7.90,0,0,20000
IJC,20160428,7.59,7.69,7.50,7.60,825980,8.00,8.10,7.90,8.00,0,120000,0
IJC,20160427,7.69,7.69,7.41,7.50,673840,8.10,8.10,7.80,7.90,0,1000,0
IJC,20160426,7.32,7.70,7.32,7.69,1184440,7.70,8.10,7.70,8.10,0,34300,100000
IJC,20160425,7.50,7.50,7.22,7.22,323910,7.90,7.90,7.60,7.60,0,6000,0
IJC,20160422,7.22,7.41,7.22,7.31,380590,7.60,7.80,7.60,7.70,0,10600,2000
IJC,20160421,7.32,7.41,7.22,7.22,416550,7.70,7.80,7.60,7.60,0,69400,0
IJC,20160420,7.31,7.31,7.12,7.22,531480,7.70,7.70,7.50,7.60,0,25300,0
IJC,20160419,7.32,7.41,7.22,7.31,485330,7.70,7.80,7.60,7.70,0,1000,8000
IJC,20160415,7.50,7.59,7.41,7.41,520440,7.90,8.00,7.80,7.80,0,97900,50000
IJC,20160414,7.50,7.59,7.41,7.50,461870,7.90,8.00,7.80,7.90,0,3300,80000
IJC,20160413,7.50,7.59,7.41,7.50,466520,7.90,8.00,7.80,7.90,0,34600,0
IJC,20160412,7.70,7.70,7.50,7.50,655770,8.10,8.10,7.90,7.90,0,0,4490
IJC,20160411,7.70,7.79,7.60,7.60,1270950,8.10,8.20,8.00,8.00,0,25000,0
IJC,20160408,7.59,7.88,7.50,7.60,1286280,8.00,8.30,7.90,8.00,0,115300,0
IJC,20160407,7.78,7.78,7.41,7.50,484320,8.20,8.20,7.80,7.90,0,0,0
IJC,20160406,7.41,7.70,7.41,7.69,684640,7.80,8.10,7.80,8.10,0,202480,0
IJC,20160405,7.22,7.50,7.22,7.41,1089510,7.60,7.90,7.60,7.80,0,0,25000
IJC,20160404,7.41,7.59,7.22,7.22,740480,7.80,8.00,7.60,7.60,0,25000,34000
IJC,20160401,7.59,7.59,7.41,7.50,765190,8.00,8.00,7.80,7.90,0,0,103340
IJC,20160331,7.88,7.98,7.50,7.50,1277370,8.30,8.40,7.90,7.90,0,6000,19250
IJC,20160330,7.98,8.07,7.88,7.98,658560,8.40,8.50,8.30,8.40,0,90200,1000
IJC,20160329,8.26,8.26,7.88,8.07,1188080,8.70,8.70,8.30,8.50,0,58190,0
IJC,20160328,8.36,8.46,8.17,8.26,1882010,8.80,8.90,8.60,8.70,0,111000,30160
IJC,20160325,8.17,8.17,7.79,7.98,1353630,8.60,8.60,8.20,8.40,0,7000,37980
IJC,20160324,8.07,8.27,8.07,8.17,1858620,8.50,8.70,8.50,8.60,0,15000,100000
IJC,20160323,8.07,8.07,7.88,7.98,1241170,8.50,8.50,8.30,8.40,0,59200,100000
IJC,20160322,7.79,8.17,7.70,7.98,1745200,8.20,8.60,8.10,8.40,0,18400,200000
IJC,20160321,8.07,8.16,7.69,7.79,1445610,8.50,8.60,8.10,8.20,0,37000,87390
IJC,20160318,7.98,8.27,7.88,8.07,1382670,8.40,8.70,8.30,8.50,0,9000,440550
IJC,20160317,8.07,8.35,7.88,7.98,2662660,8.50,8.80,8.30,8.40,0,258190,596040
IJC,20160316,7.32,7.88,7.32,7.88,1814100,7.70,8.30,7.70,8.30,0,191810,10
IJC,20160315,7.41,7.50,7.22,7.41,981150,7.80,7.90,7.60,7.80,0,150300,79000
IJC,20160314,7.02,7.40,6.93,7.41,1764290,7.40,7.80,7.30,7.80,0,10000,0
IJC,20160311,7.12,7.22,6.93,6.93,886320,7.50,7.60,7.30,7.30,0,0,0
IJC,20160310,7.50,7.50,7.22,7.22,1236150,7.90,7.90,7.60,7.60,0,14000,0
IJC,20160309,7.32,7.32,7.22,7.31,2426050,7.70,7.70,7.60,7.70,0,55200,160000
IJC,20160308,6.84,6.84,6.84,6.84,453920,7.20,7.20,7.20,7.20,0,0,0
IJC,20160307,6.55,6.64,6.46,6.46,373200,6.90,7.00,6.80,6.80,0,0,0
IJC,20160304,6.46,6.64,6.46,6.55,182730,6.80,7.00,6.80,6.90,0,0,0
IJC,20160303,6.64,6.74,6.46,6.55,558610,7.00,7.10,6.80,6.90,0,0,370000
IJC,20160302,6.65,6.65,6.55,6.55,383360,7.00,7.00,6.90,6.90,0,50000,130000
IJC,20160301,6.65,6.75,6.55,6.65,775490,7.00,7.10,6.90,7.00,0,39200,98750
IJC,20160229,6.46,6.65,6.46,6.65,925270,6.80,7.00,6.80,7.00,0,0,60000
IJC,20160226,6.46,6.55,6.37,6.46,537110,6.80,6.90,6.70,6.80,0,0,30000
IJC,20160225,6.65,6.75,6.46,6.46,538270,7.00,7.10,6.80,6.80,0,0,25000
IJC,20160224,6.27,6.74,6.27,6.65,1979240,6.60,7.10,6.60,7.00,0,270000,105000
IJC,20160223,6.45,6.45,6.27,6.36,343060,6.80,6.80,6.60,6.70,0,5000,20000
IJC,20160222,6.27,6.46,6.27,6.36,830990,6.60,6.80,6.60,6.70,0,0,80000
IJC,20160219,6.36,6.36,6.17,6.27,551090,6.70,6.70,6.50,6.60,0,18000,0
IJC,20160218,6.37,6.37,6.27,6.36,139960,6.70,6.70,6.60,6.70,0,0,50000
IJC,20160217,6.37,6.37,6.27,6.27,198600,6.70,6.70,6.60,6.60,0,8000,23070
IJC,20160216,6.17,6.37,6.17,6.27,246690,6.50,6.70,6.50,6.60,0,0,40000
IJC,20160215,6.36,6.36,6.17,6.27,186580,6.70,6.70,6.50,6.60,0,6000,38300
IJC,20160205,6.27,6.37,6.17,6.36,89820,6.60,6.70,6.50,6.70,0,0,9800
IJC,20160204,6.37,6.37,6.17,6.27,135670,6.70,6.70,6.50,6.60,0,19990,12300
IJC,20160203,6.27,6.36,5.98,6.27,425420,6.60,6.70,6.30,6.60,0,8200,34000
IJC,20160202,6.37,6.46,6.27,6.36,139430,6.70,6.80,6.60,6.70,0,0,0
IJC,20160201,6.27,6.55,6.27,6.46,280740,6.60,6.90,6.60,6.80,0,5200,0
IJC,20160129,6.17,6.36,6.17,6.27,270700,6.50,6.70,6.50,6.60,0,4000,10000
IJC,20160128,6.27,6.37,6.17,6.17,357390,6.60,6.70,6.50,6.50,0,0,0
IJC,20160127,6.26,6.36,6.26,6.27,352230,6.60,6.70,6.60,6.60,0,3920,0
IJC,20160126,6.17,6.27,6.08,6.17,626800,6.50,6.60,6.40,6.50,0,2470,0
IJC,20160125,6.17,6.46,6.17,6.36,541050,6.50,6.80,6.50,6.70,0,0,0
IJC,20160122,5.89,6.08,5.70,6.08,1206820,6.20,6.40,6.00,6.40,0,779200,4000
IJC,20160121,5.98,5.98,5.60,5.70,931720,6.30,6.30,5.90,6.00,0,0,20000
IJC,20160120,6.26,6.26,5.98,5.98,505430,6.60,6.60,6.30,6.30,0,80980,20000
IJC,20160119,6.08,6.27,5.99,6.17,425300,6.40,6.60,6.30,6.50,0,78110,61000
IJC,20160118,6.17,6.17,5.98,6.08,1365670,6.50,6.50,6.30,6.40,0,38500,511300
IJC,20160115,6.55,6.64,6.36,6.36,593970,6.90,7.00,6.70,6.70,0,0,289860
IJC,20160114,6.55,6.65,6.37,6.55,501780,6.90,7.00,6.70,6.90,0,0,173000
IJC,20160113,6.65,6.84,6.55,6.65,540410,7.00,7.20,6.90,7.00,0,11000,41000
IJC,20160112,6.45,6.74,6.45,6.65,550220,6.80,7.10,6.80,7.00,0,6550,86000
IJC,20160111,6.27,6.55,6.27,6.36,316560,6.60,6.90,6.60,6.70,0,10000,0
IJC,20160108,6.36,6.45,6.17,6.36,787940,6.70,6.80,6.50,6.70,0,92200,0
IJC,20160107,6.65,6.65,6.37,6.36,986590,7.00,7.00,6.70,6.70,0,12840,0
IJC,20160106,6.64,6.74,6.55,6.65,561000,7.00,7.10,6.90,7.00,0,4600,0
IJC,20160105,6.65,6.74,6.55,6.55,911920,7.00,7.10,6.90,6.90,0,5600,0
IJC,20160104,6.84,6.93,6.75,6.74,654690,7.20,7.30,7.10,7.10,0,57180,0
IJC,20151231,6.84,6.93,6.75,6.84,342050,7.20,7.30,7.10,7.20,0,500,0
IJC,20151230,6.74,6.93,6.74,6.84,586820,7.10,7.30,7.10,7.20,0,700,0
IJC,20151229,6.64,6.74,6.46,6.74,753950,7.00,7.10,6.80,7.10,0,13000,37000
IJC,20151228,6.83,6.83,6.55,6.55,1136740,7.20,7.20,6.90,6.90,0,0,47840
IJC,20151225,6.84,7.03,6.75,6.74,858970,7.20,7.40,7.10,7.10,0,1100,0
IJC,20151224,6.93,7.02,6.84,6.84,639750,7.30,7.40,7.20,7.20,0,300,0
IJC,20151223,7.03,7.12,6.84,6.93,1109040,7.40,7.50,7.20,7.30,0,0,48000
IJC,20151222,7.03,7.22,6.93,7.03,991040,7.40,7.60,7.30,7.40,0,116930,0
IJC,20151221,7.21,7.21,6.93,7.03,2232640,7.60,7.60,7.30,7.40,0,5300,0
IJC,20151218,7.31,7.40,7.12,7.12,5100380,7.70,7.80,7.50,7.50,0,1663380,4550320
IJC,20151217,7.03,7.32,7.03,7.31,1341560,7.40,7.70,7.40,7.70,0,12700,0
IJC,20151216,6.74,7.02,6.74,6.84,5880430,7.10,7.40,7.10,7.20,0,2700,5601830
IJC,20151215,6.75,6.84,6.55,6.74,439940,7.10,7.20,6.90,7.10,0,8200,133830
IJC,20151214,6.93,7.03,6.65,6.65,1286950,7.30,7.40,7.00,7.00,20000,1000,41720
IJC,20151211,7.32,7.32,7.03,7.12,166720,7.70,7.70,7.40,7.50,0,0,0
IJC,20151210,7.22,7.40,7.22,7.22,244790,7.60,7.80,7.60,7.60,0,200,0
IJC,20151209,7.70,7.70,7.32,7.31,799880,8.10,8.10,7.70,7.70,0,118530,322720
IJC,20151208,7.60,7.69,7.50,7.60,288660,8.00,8.10,7.90,8.00,0,0,0
IJC,20151207,7.69,7.69,7.50,7.69,201650,8.10,8.10,7.90,8.10,0,10000,100900
IJC,20151204,7.69,7.69,7.50,7.69,225630,8.10,8.10,7.90,8.10,0,500,0
IJC,20151203,7.79,7.79,7.60,7.69,244210,8.20,8.20,8.00,8.10,0,0,60510
