<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DIG,20160531,8.70,8.89,8.70,8.80,871310,9.40,9.60,9.40,9.50,0,359300,0
DIG,20160530,8.52,8.70,8.42,8.70,725850,9.20,9.40,9.10,9.40,0,232900,0
DIG,20160527,8.24,8.42,8.24,8.33,523800,8.90,9.10,8.90,9.00,0,195020,271000
DIG,20160526,8.33,8.33,8.14,8.33,859670,9.00,9.00,8.80,9.00,500000,855990,564000
DIG,20160525,8.34,8.43,8.24,8.33,590620,9.00,9.10,8.90,9.00,750000,840890,1063760
DIG,20160524,8.52,8.70,8.42,8.43,525410,9.20,9.40,9.10,9.10,0,0,129950
DIG,20160523,8.70,8.70,8.51,8.61,258740,9.40,9.40,9.20,9.30,40010,0,117050
DIG,20160520,8.70,8.79,8.51,8.70,358470,9.40,9.50,9.20,9.40,0,5000,139040
DIG,20160519,8.43,8.89,8.43,8.70,1067780,9.10,9.60,9.10,9.40,0,0,354580
DIG,20160518,8.61,8.70,8.42,8.52,388590,9.30,9.40,9.10,9.20,0,0,107530
DIG,20160517,8.33,8.80,8.15,8.61,1262390,9.00,9.50,8.80,9.30,0,301000,1000
DIG,20160516,8.15,8.33,8.15,8.24,328940,8.80,9.00,8.80,8.90,0,270010,1630
DIG,20160513,8.33,8.33,8.24,8.24,375180,9.00,9.00,8.90,8.90,0,245000,0
DIG,20160512,8.42,8.42,8.33,8.33,406960,9.10,9.10,9.00,9.00,0,210000,0
DIG,20160511,8.24,8.42,8.24,8.33,692140,8.90,9.10,8.90,9.00,0,494130,25780
DIG,20160510,8.33,8.42,8.24,8.33,744240,9.00,9.10,8.90,9.00,0,540070,0
DIG,20160509,8.33,8.42,8.24,8.33,680210,9.00,9.10,8.90,9.00,0,401590,0
DIG,20160506,8.33,8.42,8.14,8.33,1067830,9.00,9.10,8.80,9.00,0,599320,12510
DIG,20160505,8.24,8.61,8.24,8.33,1038990,8.90,9.30,8.90,9.00,0,152140,300
DIG,20160504,7.96,8.24,7.96,8.24,992870,8.60,8.90,8.60,8.90,0,343470,0
DIG,20160429,7.96,8.24,7.96,7.96,638640,8.60,8.90,8.60,8.60,0,0,100000
DIG,20160428,7.96,8.15,7.87,7.96,746480,8.60,8.80,8.50,8.60,0,0,0
DIG,20160427,8.24,8.33,7.96,7.96,1570480,8.90,9.00,8.60,8.60,0,2000,0
DIG,20160426,8.15,8.34,8.06,8.24,1204680,8.80,9.00,8.70,8.90,0,4000,60000
DIG,20160425,8.15,8.24,7.96,8.15,2336410,8.80,8.90,8.60,8.80,0,0,110160
DIG,20160422,7.50,7.87,7.41,7.87,2761460,8.10,8.50,8.00,8.50,44429,463900,1331299
DIG,20160421,7.22,7.50,7.13,7.41,864080,7.80,8.10,7.70,8.00,0,512070,190000
DIG,20160420,7.22,7.22,7.13,7.22,238300,7.80,7.80,7.70,7.80,0,60000,0
DIG,20160419,7.40,7.40,7.22,7.22,650070,8.00,8.00,7.80,7.80,0,104900,128330
DIG,20160415,7.40,7.59,7.31,7.31,1523240,8.00,8.20,7.90,7.90,0,0,660000
DIG,20160414,7.22,7.50,7.22,7.31,780410,7.80,8.10,7.80,7.90,0,0,336710
DIG,20160413,7.22,7.41,7.13,7.22,682560,7.80,8.00,7.70,7.80,0,33800,80000
DIG,20160412,7.40,7.40,7.12,7.13,486670,8.00,8.00,7.70,7.70,0,0,50000
DIG,20160411,7.04,7.50,7.04,7.31,764300,7.60,8.10,7.60,7.90,0,0,102750
DIG,20160408,6.94,7.03,6.85,7.04,421530,7.50,7.60,7.40,7.60,0,3100,110670
DIG,20160407,6.94,7.04,6.85,6.94,356070,7.50,7.60,7.40,7.50,0,51100,60730
DIG,20160406,6.94,6.94,6.76,6.85,168900,7.50,7.50,7.30,7.40,0,0,4470
DIG,20160405,6.94,7.03,6.85,6.85,176770,7.50,7.60,7.40,7.40,0,0,10000
DIG,20160404,6.57,6.94,6.57,6.94,815920,7.10,7.50,7.10,7.50,0,372000,4350
DIG,20160401,6.67,6.76,6.48,6.57,339420,7.20,7.30,7.00,7.10,0,0,0
DIG,20160331,6.85,6.94,6.66,6.67,426620,7.40,7.50,7.20,7.20,0,11400,0
DIG,20160330,6.85,6.94,6.66,6.85,455200,7.40,7.50,7.20,7.40,0,84800,0
DIG,20160329,7.04,7.04,6.76,6.85,490940,7.60,7.60,7.30,7.40,0,94700,50000
DIG,20160328,7.04,7.13,6.95,7.04,314600,7.60,7.70,7.50,7.60,0,0,0
DIG,20160325,7.04,7.13,6.94,7.04,188800,7.60,7.70,7.50,7.60,0,19870,23750
DIG,20160324,7.13,7.23,7.04,7.13,539750,7.70,7.80,7.60,7.70,0,0,124490
DIG,20160323,7.13,7.13,6.95,7.04,701570,7.70,7.70,7.50,7.60,0,45500,30000
DIG,20160322,7.13,7.13,6.94,7.04,491430,7.70,7.70,7.50,7.60,0,70000,70000
DIG,20160321,7.31,7.31,7.13,7.13,238680,7.90,7.90,7.70,7.70,0,37280,40000
DIG,20160318,7.31,7.31,7.13,7.22,338070,7.90,7.90,7.70,7.80,0,0,46640
DIG,20160317,7.31,7.41,7.22,7.22,433670,7.90,8.00,7.80,7.80,0,0,150000
DIG,20160316,7.22,7.41,7.22,7.22,237030,7.80,8.00,7.80,7.80,0,0,88780
DIG,20160315,7.31,7.40,7.22,7.22,312960,7.90,8.00,7.80,7.80,0,1000,10000
DIG,20160314,7.41,7.50,7.22,7.31,369310,8.00,8.10,7.80,7.90,0,0,0
DIG,20160311,7.41,7.50,7.31,7.41,256210,8.00,8.10,7.90,8.00,0,1000,0
DIG,20160310,7.41,7.50,7.32,7.50,207280,8.00,8.10,7.90,8.10,0,0,0
DIG,20160309,7.13,7.59,7.13,7.41,1031090,7.70,8.20,7.70,8.00,0,76900,312120
DIG,20160308,7.22,7.22,7.13,7.13,115760,7.80,7.80,7.70,7.70,0,0,0
DIG,20160307,7.04,7.23,7.04,7.13,376360,7.60,7.80,7.60,7.70,0,0,100
DIG,20160304,7.04,7.23,7.04,7.04,194770,7.60,7.80,7.60,7.60,0,330,0
DIG,20160303,7.31,7.31,7.03,7.04,167380,7.90,7.90,7.60,7.60,0,1000,0
DIG,20160302,7.31,7.41,7.22,7.22,281400,7.90,8.00,7.80,7.80,0,10000,0
DIG,20160301,7.13,7.31,7.13,7.22,195900,7.70,7.90,7.70,7.80,0,0,0
DIG,20160229,7.31,7.40,7.12,7.22,207500,7.90,8.00,7.70,7.80,0,5800,50000
DIG,20160226,7.31,7.40,7.31,7.31,215150,7.90,8.00,7.90,7.90,0,7000,0
DIG,20160225,7.50,7.59,7.31,7.31,299840,8.10,8.20,7.90,7.90,0,0,0
DIG,20160224,7.41,7.59,7.41,7.50,259800,8.00,8.20,8.00,8.10,0,0,45860
DIG,20160223,7.69,7.78,7.50,7.50,545540,8.30,8.40,8.10,8.10,0,1000,150000
DIG,20160222,7.50,7.69,7.50,7.69,680200,8.10,8.30,8.10,8.30,0,0,189350
DIG,20160219,7.59,7.68,7.50,7.50,667480,8.20,8.30,8.10,8.10,0,0,127720
DIG,20160218,7.68,7.68,7.59,7.59,252280,8.30,8.30,8.20,8.20,0,1000,0
DIG,20160217,7.69,7.88,7.60,7.59,559450,8.30,8.50,8.20,8.20,0,0,60800
DIG,20160216,7.78,7.96,7.68,7.69,1440430,8.40,8.60,8.30,8.30,0,475790,529690
DIG,20160215,7.59,7.68,7.50,7.59,170630,8.20,8.30,8.10,8.20,0,1000,43170
DIG,20160205,7.60,7.78,7.50,7.59,222140,8.20,8.40,8.10,8.20,0,0,540
DIG,20160204,7.68,7.78,7.59,7.69,131360,8.30,8.40,8.20,8.30,0,0,0
DIG,20160203,7.60,7.69,7.50,7.59,172780,8.20,8.30,8.10,8.20,0,0,0
DIG,20160202,7.60,7.78,7.60,7.69,221890,8.20,8.40,8.20,8.30,0,0,0
DIG,20160201,7.59,7.96,7.59,7.69,340940,8.20,8.60,8.20,8.30,0,0,53600
DIG,20160129,7.50,7.59,7.41,7.50,276880,8.10,8.20,8.00,8.10,0,0,0
DIG,20160128,7.60,7.69,7.41,7.50,306060,8.20,8.30,8.00,8.10,0,0,0
DIG,20160127,7.50,7.78,7.50,7.69,321850,8.10,8.40,8.10,8.30,0,0,0
DIG,20160126,7.40,7.59,7.22,7.50,394280,8.00,8.20,7.80,8.10,0,0,0
DIG,20160125,7.32,7.59,7.32,7.59,482750,7.90,8.20,7.90,8.20,0,0,0
DIG,20160122,6.67,7.13,6.67,7.13,1051880,7.20,7.70,7.20,7.70,479784,869870,525284
DIG,20160121,6.95,7.04,6.67,6.67,351350,7.50,7.60,7.20,7.20,380000,394260,420000
DIG,20160120,7.22,7.22,6.94,7.04,223530,7.80,7.80,7.50,7.60,0,23630,20000
DIG,20160119,7.23,7.32,7.04,7.22,576630,7.80,7.90,7.60,7.80,0,7000,255560
DIG,20160118,7.13,7.22,6.95,7.04,782670,7.70,7.80,7.50,7.60,0,35000,22100
DIG,20160115,7.78,7.78,7.41,7.41,421960,8.40,8.40,8.00,8.00,0,600,150000
DIG,20160114,7.97,7.97,7.60,7.78,322110,8.60,8.60,8.20,8.40,0,1000,194290
DIG,20160113,8.15,8.24,7.96,8.06,259160,8.80,8.90,8.60,8.70,0,5200,29040
DIG,20160112,7.78,8.15,7.78,8.15,359480,8.40,8.80,8.40,8.80,0,34000,10100
DIG,20160111,7.96,8.05,7.77,7.78,276240,8.60,8.70,8.40,8.40,0,9140,0
DIG,20160108,8.05,8.24,7.96,7.96,546490,8.70,8.90,8.60,8.60,0,10200,10000
DIG,20160107,8.43,8.43,8.06,8.24,450650,9.10,9.10,8.70,8.90,0,20100,70
DIG,20160106,8.61,8.61,8.42,8.52,207470,9.30,9.30,9.10,9.20,0,200,0
DIG,20160105,8.61,8.61,8.42,8.61,199480,9.30,9.30,9.10,9.30,0,10000,0
DIG,20160104,8.52,8.80,8.43,8.61,565140,9.20,9.50,9.10,9.30,0,58740,0
DIG,20151231,8.43,8.43,8.34,8.43,207980,9.10,9.10,9.00,9.10,0,0,0
DIG,20151230,8.43,8.52,8.34,8.43,121390,9.10,9.20,9.00,9.10,0,0,270
DIG,20151229,8.15,8.43,8.15,8.43,259560,8.80,9.10,8.80,9.10,0,400,5000
DIG,20151228,8.33,8.33,8.15,8.15,255050,9.00,9.00,8.80,8.80,0,0,1600
DIG,20151225,8.61,8.61,8.24,8.24,413480,9.30,9.30,8.90,8.90,0,1100,0
DIG,20151224,8.61,8.70,8.52,8.61,115950,9.30,9.40,9.20,9.30,0,0,0
DIG,20151223,8.70,8.70,8.42,8.61,261380,9.40,9.40,9.10,9.30,0,5300,880
DIG,20151222,8.61,8.80,8.61,8.61,88820,9.30,9.50,9.30,9.30,0,300,60
DIG,20151221,8.71,8.80,8.61,8.61,272880,9.40,9.50,9.30,9.30,0,0,0
DIG,20151218,8.99,8.99,8.80,8.80,235510,9.70,9.70,9.50,9.50,0,700,50000
DIG,20151217,8.89,8.98,8.79,8.80,121230,9.60,9.70,9.50,9.50,0,1000,100
DIG,20151216,8.70,8.89,8.70,8.70,281740,9.40,9.60,9.40,9.40,0,0,51160
DIG,20151215,8.79,8.79,8.51,8.61,250200,9.50,9.50,9.20,9.30,0,0,50000
DIG,20151214,8.79,8.79,8.61,8.70,191400,9.50,9.50,9.30,9.40,0,0,0
DIG,20151211,8.79,8.89,8.70,8.70,253720,9.50,9.60,9.40,9.40,0,5160,100000
DIG,20151210,8.98,8.98,8.70,8.70,406270,9.70,9.70,9.40,9.40,0,2000,0
DIG,20151209,9.26,9.26,8.98,8.98,102660,10.00,10.00,9.70,9.70,0,0,0
DIG,20151208,9.08,9.26,8.98,9.26,335360,9.80,10.00,9.70,10.00,0,2300,12500
DIG,20151207,9.17,9.35,9.17,9.17,210880,9.90,10.10,9.90,9.90,0,0,0
DIG,20151204,9.35,9.35,9.16,9.26,233670,10.10,10.10,9.90,10.00,0,0,0
DIG,20151203,9.26,9.45,9.26,9.35,130160,10.00,10.20,10.00,10.10,0,0,0
DIG,20151202,9.26,9.45,9.26,9.26,171580,10.00,10.20,10.00,10.00,0,0,0
DIG,20151201,9.26,9.44,9.16,9.17,464040,10.00,10.20,9.90,9.90,40000,0,100000
DIG,20151130,9.54,9.54,9.26,9.35,418830,10.30,10.30,10.00,10.10,0,5500,100000
DIG,20151127,9.54,9.63,9.45,9.54,724040,10.30,10.40,10.20,10.30,0,12500,0
DIG,20151126,9.63,9.91,9.54,9.54,469900,10.40,10.70,10.30,10.30,0,12500,0
DIG,20151125,9.54,9.72,9.44,9.63,223760,10.30,10.50,10.20,10.40,0,500,0
DIG,20151124,9.72,9.81,9.44,9.63,374170,10.50,10.60,10.20,10.40,0,0,0
DIG,20151123,9.72,9.91,9.72,9.72,559230,10.50,10.70,10.50,10.50,0,0,50500
DIG,20151120,9.26,9.63,9.26,9.63,643740,10.00,10.40,10.00,10.40,0,0,30100
DIG,20151119,9.44,9.53,9.25,9.26,320520,10.20,10.30,10.00,10.00,0,34000,117150
DIG,20151118,9.63,9.63,9.35,9.44,304740,10.40,10.40,10.10,10.20,0,0,0
DIG,20151117,9.53,9.63,9.35,9.54,399150,10.30,10.40,10.10,10.30,0,100,0
DIG,20151116,9.81,9.81,9.35,9.44,429760,10.60,10.60,10.10,10.20,0,5000,10000
DIG,20151113,9.53,9.90,9.44,9.72,536860,10.30,10.70,10.20,10.50,0,25000,0
DIG,20151112,9.54,9.63,9.35,9.44,410660,10.30,10.40,10.10,10.20,0,0,3400
DIG,20151111,9.81,9.90,9.62,9.63,367150,10.60,10.70,10.40,10.40,0,2500,10000
DIG,20151110,10.23,10.23,9.86,9.81,506120,11.00,11.00,10.60,10.60,0,500,0
DIG,20151109,10.04,10.04,9.86,9.95,397910,11.70,11.70,11.50,11.60,0,0,0
DIG,20151106,10.03,10.20,9.94,9.95,607610,11.70,11.90,11.60,11.60,0,10000,1780
DIG,20151105,10.12,10.21,10.03,10.03,441480,11.80,11.90,11.70,11.70,0,25100,0
DIG,20151104,10.37,10.46,10.03,10.12,810840,12.10,12.20,11.70,11.80,0,1250,120000
DIG,20151103,10.20,10.29,10.03,10.20,592400,11.90,12.00,11.70,11.90,0,10000,0
DIG,20151102,10.38,10.46,10.12,10.20,405250,12.10,12.20,11.80,11.90,0,1100,0
DIG,20151030,10.29,10.37,10.20,10.29,538730,12.00,12.10,11.90,12.00,0,132700,73570
DIG,20151029,10.37,10.37,10.11,10.20,562060,12.10,12.10,11.80,11.90,0,94170,38410
DIG,20151028,10.38,10.38,10.20,10.20,802930,12.10,12.10,11.90,11.90,0,94530,179980
DIG,20151027,10.29,10.46,10.20,10.29,619630,12.00,12.20,11.90,12.00,0,82650,106880
DIG,20151026,10.37,10.54,10.28,10.29,530820,12.10,12.30,12.00,12.00,0,5200,38600
DIG,20151023,10.46,10.63,10.37,10.37,568050,12.20,12.40,12.10,12.10,0,26200,0
DIG,20151022,10.29,10.46,10.29,10.37,510870,12.00,12.20,12.00,12.10,0,0,122830
DIG,20151021,10.46,10.46,10.20,10.46,1431030,12.20,12.20,11.90,12.20,0,100000,20680
DIG,20151020,10.55,10.63,10.46,10.46,930640,12.30,12.40,12.20,12.20,0,60450,170000
DIG,20151019,10.81,10.81,10.55,10.72,423070,12.60,12.60,12.30,12.50,0,0,68900
DIG,20151016,10.81,10.89,10.64,10.72,1768670,12.60,12.70,12.40,12.50,0,210,215000
DIG,20151015,10.55,10.72,10.46,10.55,1781870,12.30,12.50,12.20,12.30,0,0,55970
DIG,20151014,10.54,10.72,10.46,10.55,792120,12.30,12.50,12.20,12.30,0,0,55970
DIG,20151013,10.63,10.80,10.54,10.63,695700,12.40,12.60,12.30,12.40,0,0,60400
DIG,20151012,10.80,10.98,10.72,10.80,784600,12.60,12.80,12.50,12.60,0,10000,0
DIG,20151009,10.97,11.06,10.71,10.89,737300,12.80,12.90,12.50,12.70,0,0,200
DIG,20151008,10.63,11.14,10.63,10.97,2404960,12.40,13.00,12.40,12.80,0,15000,420
DIG,20151007,10.72,10.80,10.54,10.63,727300,12.50,12.60,12.30,12.40,0,0,56170
DIG,20151006,10.54,10.71,10.46,10.63,1065230,12.30,12.50,12.20,12.40,0,10000,400
DIG,20151005,10.46,10.63,10.28,10.37,411850,12.20,12.40,12.00,12.10,0,0,0
DIG,20151002,10.46,10.55,10.37,10.37,428540,12.20,12.30,12.10,12.10,0,0,0
DIG,20151001,10.37,10.46,10.28,10.46,540250,12.10,12.20,12.00,12.20,0,0,0
DIG,20150930,10.12,10.54,10.12,10.37,1148470,11.80,12.30,11.80,12.10,0,0,0
DIG,20150929,9.95,10.21,9.86,10.03,839610,11.60,11.90,11.50,11.70,0,0,0
DIG,20150928,10.37,10.54,10.11,10.12,649640,12.10,12.30,11.80,11.80,0,0,0
DIG,20150925,10.54,10.63,10.29,10.37,628890,12.30,12.40,12.00,12.10,0,200,0
DIG,20150924,10.64,10.81,10.55,10.63,999900,12.40,12.60,12.30,12.40,0,0,60000
DIG,20150923,10.28,10.71,10.20,10.55,2028050,12.00,12.50,11.90,12.30,0,20,210200
DIG,20150922,10.37,10.46,10.20,10.37,991860,12.10,12.20,11.90,12.10,0,13400,110000
DIG,20150921,10.12,10.46,10.12,10.46,1055940,11.80,12.20,11.80,12.20,0,190,180470
DIG,20150918,9.86,10.12,9.69,10.12,2475510,11.50,11.80,11.30,11.80,0,0,351000
DIG,20150917,9.69,9.69,9.52,9.52,314790,11.30,11.30,11.10,11.10,0,0,0
DIG,20150916,9.61,9.69,9.52,9.52,249690,11.20,11.30,11.10,11.10,0,0,0
